aX,aY,aZ,gX,gY,gZ
1.746,1.245,0.779,-122.314,49.438,-82.214
1.652,1.117,0.703,-130.005,66.650,-89.844
1.514,0.944,0.590,-131.531,82.397,-96.741
1.399,0.793,0.417,-127.563,90.332,-102.722
1.261,0.677,0.271,-118.774,91.736,-107.239
1.159,0.590,0.234,-109.741,87.341,-110.291
1.052,0.500,0.275,-112.244,78.735,-111.389
1.012,0.384,0.273,-130.005,71.594,-108.765
0.960,0.294,0.291,-151.917,68.970,-101.074
0.857,0.270,0.260,-161.438,67.810,-93.628
0.787,0.265,0.214,-150.696,67.078,-93.140
0.696,0.307,0.207,-122.192,67.810,-100.464
0.561,0.274,0.268,-88.501,63.782,-115.051
0.556,0.081,0.380,-76.538,61.890,-128.174
0.503,-0.121,0.392,-98.206,64.880,-124.573
0.463,-0.259,0.312,-130.493,66.589,-109.497
0.362,-0.347,0.218,-148.865,62.866,-93.933
0.323,-0.409,0.227,-146.973,55.420,-85.693
0.313,-0.432,0.235,-135.498,48.157,-80.566
0.265,-0.447,0.241,-119.629,40.527,-76.111
0.254,-0.459,0.275,-98.816,36.072,-75.317
0.258,-0.476,0.294,-79.224,31.616,-76.111
0.273,-0.532,0.278,-67.749,30.762,-75.500
0.276,-0.587,0.248,-66.345,31.982,-69.885
0.290,-0.644,0.191,-72.754,29.602,-59.692
0.313,-0.639,0.132,-81.543,23.621,-46.875
0.298,-0.644,0.114,-83.740,15.076,-36.743
0.326,-0.630,0.106,-76.294,6.287,-31.128
0.361,-0.596,0.102,-58.167,-0.732,-30.701
0.416,-0.565,0.070,-35.583,-3.906,-32.288
0.425,-0.537,0.081,-18.005,-5.310,-32.166
0.479,-0.537,0.111,-10.071,-4.211,-29.297
0.523,-0.524,0.121,-13.794,0.793,-21.362
0.546,-0.497,0.078,-24.536,8.911,-9.521
0.574,-0.466,0.003,-33.997,16.113,0.671
0.601,-0.435,-0.076,-35.950,20.447,7.568
0.625,-0.393,-0.152,-30.518,20.508,10.986
0.643,-0.340,-0.206,-21.118,17.212,12.268
0.661,-0.263,-0.229,-11.108,10.681,11.780
0.688,-0.213,-0.238,-2.197,2.686,8.606
0.733,-0.187,-0.228,4.089,-2.441,4.700
0.769,-0.180,-0.194,7.141,-5.615,3.235
0.802,-0.172,-0.151,5.066,-6.592,5.127
0.826,-0.155,-0.119,0.671,-5.554,8.545
0.863,-0.126,-0.106,-1.404,-3.296,10.742
0.883,-0.085,-0.100,-0.366,-0.916,11.353
0.909,-0.051,-0.112,0.732,0.793,10.986
0.932,-0.030,-0.135,0.427,2.319,9.766
0.958,-0.033,-0.164,-0.122,3.235,7.812
0.968,-0.042,-0.178,0.183,3.601,6.409
0.969,-0.050,-0.174,0.732,3.052,5.310
0.950,-0.048,-0.164,0.000,2.136,5.188
0.964,-0.045,-0.165,-0.244,0.854,4.883
0.969,-0.047,-0.166,1.221,-0.061,3.357
0.979,-0.041,-0.165,3.906,-0.610,1.526
0.982,-0.037,-0.163,7.019,-1.099,-0.671
0.988,-0.031,-0.153,9.399,-1.831,-2.136
0.995,-0.021,-0.135,10.315,-2.502,-2.808
0.989,-0.015,-0.121,9.705,-2.686,-2.930
0.982,-0.014,-0.133,8.118,-1.892,-3.540
0.977,-0.020,-0.155,8.240,-0.854,-4.578
0.991,-0.035,-0.171,9.521,-0.977,-5.615
0.998,-0.056,-0.178,8.789,-1.587,-5.920
0.993,-0.067,-0.177,6.592,-2.563,-5.066
0.976,-0.062,-0.168,5.493,-4.028,-4.028
0.965,-0.055,-0.150,5.798,-5.371,-3.906
0.970,-0.048,-0.125,7.080,-6.836,-4.272
0.980,-0.043,-0.101,8.362,-7.202,-5.249
0.996,-0.049,-0.094,8.911,-6.348,-6.409
1.005,-0.073,-0.097,7.812,-4.761,-6.592
1.000,-0.086,-0.109,5.676,-3.418,-5.554
0.991,-0.101,-0.122,4.272,-2.930,-4.272
0.984,-0.100,-0.132,4.456,-2.686,-3.601
0.974,-0.100,-0.141,5.371,-3.113,-2.991
0.964,-0.095,-0.144,5.615,-4.150,-2.747
0.975,-0.108,-0.140,6.165,-5.249,-2.747
0.972,-0.116,-0.121,6.714,-5.554,-2.258
0.976,-0.122,-0.101,6.714,-5.249,-1.221
0.981,-0.122,-0.090,5.493,-3.967,0.610
0.983,-0.112,-0.092,3.723,-1.099,2.930
0.982,-0.097,-0.104,2.441,0.916,4.944
0.976,-0.083,-0.119,1.526,2.502,6.226
0.970,-0.064,-0.128,1.892,2.380,6.409
0.971,-0.058,-0.128,3.784,1.648,5.676
0.972,-0.050,-0.129,5.249,1.099,4.700
0.970,-0.052,-0.127,5.493,1.038,4.456
0.975,-0.058,-0.130,3.784,1.282,5.005
0.969,-0.052,-0.136,2.502,2.136,5.676
0.966,-0.051,-0.146,1.587,2.869,6.226
0.977,-0.054,-0.169,1.038,3.723,6.165
0.981,-0.057,-0.191,1.038,3.967,6.104
0.980,-0.050,-0.204,1.831,3.235,6.287
0.974,-0.039,-0.204,2.441,1.709,6.348
0.971,-0.013,-0.197,2.930,-0.122,6.226
0.966,0.000,-0.183,3.662,-1.282,4.944
0.974,-0.003,-0.167,4.333,-2.625,3.174
0.984,-0.017,-0.152,4.456,-3.479,1.831
0.984,-0.021,-0.132,4.211,-3.723,1.282
0.985,-0.032,-0.106,3.540,-3.235,1.099
0.991,-0.035,-0.097,1.465,-1.648,1.770
0.988,-0.033,-0.101,0.061,0.244,2.563
0.975,-0.024,-0.119,0.244,1.892,2.686
0.966,-0.017,-0.145,1.831,2.197,2.136
0.964,-0.018,-0.165,3.845,1.343,0.671
0.964,-0.029,-0.171,5.554,0.061,-0.732
0.973,-0.043,-0.168,5.310,-1.587,-0.977

1.806,1.025,0.326,48.828,-88.806,22.156
2.157,1.324,0.406,48.828,-89.172,9.460
2.307,1.374,0.487,47.607,-90.332,-3.906
2.496,1.555,0.536,43.640,-81.604,-15.564
2.747,1.646,0.685,40.649,-72.449,-29.236
2.837,1.692,0.881,38.635,-65.247,-39.917
2.845,1.849,1.041,31.433,-53.955,-44.556
2.857,2.029,1.272,20.508,-34.912,-55.481
2.820,2.161,1.378,3.113,-13.733,-67.627
2.692,2.224,1.427,-15.869,8.423,-80.322
2.504,2.194,1.467,-32.349,32.532,-94.482
2.282,2.044,1.444,-50.781,58.044,-108.765
2.055,1.833,1.388,-72.327,86.731,-117.981
1.796,1.704,1.225,-95.337,110.413,-121.887
1.536,1.541,1.031,-113.708,127.991,-125.244
1.342,1.446,0.860,-126.343,136.841,-129.700
1.105,1.380,0.699,-134.521,135.254,-134.521
0.911,1.201,0.574,-137.756,129.089,-143.066
0.745,0.941,0.533,-134.888,121.704,-154.175
0.613,0.642,0.502,-132.385,118.652,-160.828
0.478,0.330,0.406,-134.888,122.131,-158.997
0.373,0.085,0.284,-135.498,125.061,-154.236
0.313,-0.093,0.195,-131.531,124.573,-149.536
0.264,-0.135,0.120,-126.221,118.164,-143.738
0.151,-0.148,0.136,-123.840,106.018,-138.428
0.096,-0.296,0.243,-128.906,93.689,-135.376
0.071,-0.466,0.358,-144.470,83.862,-128.357
0.051,-0.636,0.392,-157.776,79.590,-116.150
-0.019,-0.760,0.350,-151.550,84.106,-104.980
-0.044,-0.875,0.255,-128.052,90.881,-98.572
-0.080,-0.930,0.116,-98.633,89.111,-94.666
-0.069,-0.930,0.022,-75.073,78.186,-89.539
-0.058,-0.860,-0.037,-64.636,60.852,-81.177
-0.013,-0.813,-0.007,-64.697,41.870,-71.777
0.111,-0.813,0.070,-74.219,28.320,-60.791
0.177,-0.774,0.082,-88.684,23.499,-45.654
0.247,-0.771,0.025,-98.450,23.987,-31.738
0.307,-0.752,-0.026,-94.666,27.710,-21.240
0.289,-0.707,-0.090,-79.468,29.663,-13.000
0.300,-0.625,-0.150,-63.416,27.527,-8.362
0.329,-0.538,-0.146,-51.514,21.973,-4.395
0.329,-0.479,-0.146,-43.884,14.587,-0.793
0.408,-0.446,-0.120,-36.499,6.958,-0.061
0.538,-0.430,-0.082,-31.311,3.296,-1.099
