aX,aY,aZ,gX,gY,gZ
-0.066,0.022,0.928,3.418,-2.441,0.610
-0.068,0.062,0.953,4.150,-3.113,0.732
-0.091,0.071,0.968,5.066,-1.587,0.061
-0.102,0.063,0.971,4.761,-0.061,-0.549
-0.105,0.055,0.970,2.441,0.366,-0.305
-0.109,0.055,0.966,0.305,0.366,0.549
-0.117,0.049,0.965,0.244,-0.061,0.732
-0.119,0.035,0.957,2.258,-0.671,0.610
-0.123,0.029,0.944,5.493,-1.099,1.221
-0.133,0.051,0.955,9.521,-1.648,2.319
-0.137,0.078,0.972,12.939,-2.258,2.319
-0.135,0.086,0.983,14.038,-2.380,1.282
-0.142,0.078,0.987,12.329,-1.770,0.610
-0.151,0.064,0.982,9.338,-0.793,0.854
-0.161,0.056,0.976,6.226,-0.854,1.099
-0.164,0.059,0.987,4.822,-1.831,0.732
-0.171,0.055,1.005,4.395,-2.563,0.488
-0.180,0.059,1.017,4.150,-2.136,0.427
-0.195,0.064,1.017,4.333,-1.282,0.977
-0.211,0.065,1.011,5.981,0.244,1.343
-0.216,0.063,1.001,7.812,1.587,1.587
-0.217,0.068,1.002,9.766,2.136,1.953
-0.201,0.066,1.014,10.742,2.625,2.441
-0.191,0.079,1.014,9.216,2.747,3.235
-0.194,0.099,1.015,6.653,2.197,4.395
-0.194,0.109,1.019,4.150,1.587,4.395
-0.190,0.124,1.028,1.648,0.854,3.113
-0.178,0.104,1.042,0.549,0.916,0.854
-0.166,0.085,1.056,1.160,2.808,0.183
-0.164,0.078,1.054,2.319,5.737,0.427
-0.162,0.079,1.038,4.028,7.629,0.671
-0.161,0.074,1.027,6.531,8.301,0.000
-0.168,0.065,1.023,9.277,7.935,-0.671
-0.158,0.044,1.017,11.047,6.714,-1.282
-0.162,0.032,1.013,11.475,5.920,-1.221
-0.161,0.008,1.019,10.803,5.310,-0.732
-0.156,-0.007,1.019,9.094,4.883,-0.732
-0.155,-0.027,1.028,6.714,5.066,-1.221
-0.151,-0.047,1.037,4.150,5.371,-1.709
-0.150,-0.058,1.046,2.502,5.920,-1.221
-0.156,-0.045,1.036,3.662,8.118,0.488
-0.172,-0.044,1.016,7.751,10.803,1.953
-0.195,-0.044,1.008,12.878,12.146,2.441
-0.199,-0.063,1.015,16.479,13.184,2.991
-0.186,-0.054,1.019,15.930,14.038,4.700
-0.188,-0.039,1.019,13.062,14.893,6.592
-0.201,-0.031,1.005,9.277,15.686,7.629
-0.214,-0.014,1.000,5.859,15.442,7.385
-0.230,-0.005,1.000,2.014,14.465,4.944
-0.245,-0.005,1.006,-1.587,14.099,1.648
-0.275,0.000,1.003,-5.920,14.404,-1.648
-0.287,-0.041,0.989,-8.423,14.954,-3.784
-0.274,-0.070,0.985,-8.057,14.465,-3.357
-0.238,-0.046,0.983,-4.761,13.855,-0.549
-0.199,-0.062,1.001,1.282,15.991,3.052
-0.199,-0.048,1.006,5.798,18.005,8.362
-0.212,0.035,0.994,7.202,18.555,14.160
-0.244,0.116,0.976,9.705,19.165,15.259
-0.282,0.157,0.952,15.137,20.264,10.986
-0.302,0.145,0.931,19.287,20.569,3.784
-0.272,0.102,0.930,20.569,19.287,-1.831

1.222,-0.198,1.031,-9.705,-26.794,89.722
1.241,-0.114,1.010,-12.756,-25.146,100.098
1.273,-0.078,0.998,-8.179,-22.217,105.042
1.302,-0.038,0.952,-0.427,-15.930,107.544
1.271,-0.008,0.874,5.432,-8.606,110.779
1.204,0.045,0.741,5.981,-4.639,116.516
1.138,0.087,0.615,4.883,-6.653,120.605
1.091,0.108,0.545,3.723,-16.296,121.521
1.074,0.148,0.500,0.549,-31.555,120.056
1.005,0.177,0.454,-3.662,-49.194,116.333
0.908,0.200,0.481,-6.042,-68.115,109.375
0.844,0.223,0.498,-3.662,-83.008,98.083
0.766,0.194,0.602,4.395,-91.553,85.205
0.725,0.215,0.693,10.010,-93.384,72.937
0.620,0.272,0.768,10.376,-84.839,60.852
0.405,0.347,0.772,3.540,-68.909,46.204
0.094,0.384,0.690,-14.709,-50.598,29.480
-0.222,0.376,0.524,-43.091,-39.124,15.259
-0.520,0.298,0.409,-69.885,-38.818,5.493
-0.612,0.121,0.464,-79.590,-46.326,1.770
-0.643,-0.017,0.592,-61.584,-47.791,9.399
-0.739,0.013,0.663,-8.484,-29.724,23.865
-0.929,0.026,0.750,76.965,7.263,36.316
-1.307,0.148,0.612,159.607,47.180,49.744
-1.887,0.419,0.441,199.158,72.510,64.697
-2.454,0.557,0.367,189.026,74.829,59.631
-2.925,0.522,0.415,130.371,47.241,27.283
-3.051,0.470,0.652,28.137,0.488,-29.541
-2.958,0.130,1.027,-82.642,-52.490,-105.469
-2.618,-0.512,1.412,-164.062,-98.755,-168.762
-1.968,-1.039,1.788,-190.430,-124.817,-193.542
-1.370,-1.114,1.871,-150.146,-120.911,-183.838
-0.921,-1.161,1.747,-57.251,-81.970,-163.696
-0.681,-1.223,1.581,43.396,-22.888,-136.230
-0.480,-1.226,1.367,107.666,24.048,-101.563
-0.511,-1.065,1.054,129.883,57.251,-56.641
-0.554,-0.875,0.810,123.230,64.209,-10.193
-0.560,-0.431,0.692,101.440,46.570,27.710
-0.637,0.132,0.711,76.904,22.644,55.359
-0.715,0.606,0.800,55.969,2.197,60.974
-0.720,0.794,0.909,35.278,-12.329,45.105
-0.671,0.799,0.984,9.888,-22.278,24.170
-0.601,0.733,1.001,-12.329,-28.564,8.484
-0.529,0.599,1.038,-19.409,-28.198,-1.526
-0.438,0.493,1.082,-15.442,-26.489,-9.094
-0.362,0.435,1.112,-12.085,-25.818,-15.259
-0.331,0.313,1.117,-18.677,-22.400,-20.630
-0.318,0.159,1.111,-32.532,-18.616,-21.729
-0.302,0.041,1.143,-46.387,-16.113,-16.663
