aX,aY,aZ,gX,gY,gZ
-1.062,-0.468,1.884,66.528,342.102,85.876
-1.158,-0.415,1.580,45.837,362.854,92.285
-1.187,-0.394,1.282,26.794,379.700,95.886
-1.186,-0.367,0.968,11.780,393.982,99.182
-1.153,-0.297,0.643,0.549,403.809,103.149
-1.051,-0.224,0.309,-5.615,405.579,107.910
-0.911,-0.071,0.017,-8.728,397.705,113.831
-0.766,0.085,-0.171,-11.841,377.930,111.084
-0.653,0.201,-0.294,-13.306,352.966,98.328
-0.539,0.242,-0.316,-9.766,325.684,82.581
-0.434,0.219,-0.280,-1.404,301.941,69.641
-0.348,0.176,-0.271,8.789,286.255,62.195
-0.212,0.104,-0.258,19.653,278.870,59.387
-0.097,0.016,-0.282,25.574,274.231,59.875
0.030,-0.045,-0.345,19.714,270.508,60.486
0.130,-0.042,-0.473,2.930,265.320,59.692
0.249,0.006,-0.573,-18.616,255.981,56.824
0.333,0.049,-0.617,-37.354,244.812,52.856
0.395,0.098,-0.656,-49.500,236.450,49.011
0.484,0.156,-0.706,-56.213,230.835,45.593
0.517,0.262,-0.800,-58.167,227.417,41.321
0.516,0.330,-0.889,-48.218,220.215,34.485
0.519,0.347,-0.924,-26.978,207.947,27.222
0.539,0.295,-0.872,-0.244,193.115,21.118
0.585,0.217,-0.789,24.902,181.091,18.860
0.621,0.121,-0.699,40.466,173.218,18.005
0.641,0.029,-0.645,44.189,167.664,17.883
0.650,-0.004,-0.613,35.217,162.964,18.555
0.635,0.110,-0.646,22.217,159.363,19.531
0.648,0.231,-0.667,21.179,157.593,20.020
0.646,0.306,-0.717,37.048,154.968,20.264
0.674,0.309,-0.715,57.861,153.870,19.836
0.670,0.282,-0.724,76.111,152.161,19.714
0.677,0.187,-0.738,83.252,150.818,18.433
0.709,0.117,-0.836,74.036,149.109,15.808
0.775,0.091,-0.968,51.636,143.188,14.099
0.799,0.143,-1.073,28.564,131.287,12.024
0.778,0.178,-1.123,14.404,116.211,9.827
0.760,0.210,-1.170,8.118,106.873,8.728
0.770,0.226,-1.254,8.118,102.356,7.874
0.806,0.222,-1.353,10.864,98.267,7.385
0.826,0.211,-1.419,15.808,90.576,7.812
0.836,0.208,-1.455,21.118,80.078,9.827
0.859,0.183,-1.467,26.794,65.857,11.047
0.882,0.147,-1.445,29.663,47.119,9.888
0.874,0.119,-1.364,27.161,25.024,7.935
0.847,0.096,-1.231,20.020,4.456,5.127
0.834,0.100,-1.110,10.071,-9.277,2.563
0.833,0.121,-1.001,2.930,-18.738,2.075
0.816,0.152,-0.891,1.099,-26.367,2.502
0.822,0.185,-0.752,3.296,-33.020,3.540
0.815,0.178,-0.626,7.446,-37.537,3.479
0.810,0.163,-0.538,10.132,-38.452,2.991
0.821,0.160,-0.498,8.484,-36.865,2.075
0.836,0.156,-0.483,4.456,-34.851,0.122
0.849,0.142,-0.481,1.099,-32.959,-1.587
